School,Address,SchoolType
Ansar-Ud-Deen Girls High School, 71/77 Onitire Road Itire, Lagos Nigeria,SECONDARY
Apata Memorial High School, Plot 36/42 Godwin Omonua Street Ire-Akari estate Isolo, Lagos Nigeria,SECONDARY
Apostolic Faith Secondary School, Apostolic Faith Campground Road Anthony Village, Lagos Nigeria,SECONDARY
Atlantic Hall School, Atlantic Hall Poka Epe, Lagos Nigeria,SECONDARY
Attwool Sunflower School, Plot 24C Adewunmi Adebimpe Drive By Mobolaji Johnson Place Lekki, Lagos Nigeria,SECONDARY
Avi-Cenna International school, 6 Harold Shodipo Crescent Ikeja, Lagos Nigeria,SECONDARY
Awesome College, 20 Town Planning Way Ilupeju, Lagos Nigeria,SECONDARY
Baptist Mission Schools, Baptist Academy Compound Obanikoro Lagos, Nigeria,SECONDARY
Bellina College, 3-7 & 8 Tunde Bello Street Akoka Yaba, Lagos Nigeria,SECONDARY
Cambridge College, 63 Adekunle Fajuyi Way GRA Ikeja, Lagos Nigeria,SECONDARY
Cayley College, Cayley College, Lagos Nigeria,SECONDARY
Chrisland College, 72 Ejigbo Road Idimu, Lagos Nigeria,SECONDARY
Corona Secondary School, 72 Raymond Njoku Street Ikoyi, Lagos Nigeria,SECONDARY
Covenant Seeds International School, 1 Israel Adebajo Close Off Ladipo Oluwole Street Ikeja, Lagos Nigeria,SECONDARY
Diamond Private School, No 87 Lafiaji way Dolphin Estate Ikoyi, Lagos Nigeria,SECONDARY
Early Poppers School, 7 Oyo Alafin Street General Bustop Igando, Lagos State,PRIMARY
Fountain Heights Secondary School, 58 Adelabu Street Surulere, Lagos Nigeria,PRIMARY
Global International Secondary School & College, Block 12 Plot 26 Admiralty Way Lekki Scheme 1, Lagos Nigeria,PRIMARY
Greenspring School, No 32 Olatunde Ayoola Avenue Anthony, Lagos Nigeria,PRIMARY
Halifield School, No 2 Oki Lane Maryland, Lagos Nigeria,PRIMARY
Home Science Association Secondary School, 7/19 Home Science Avenue Alakuko Ajegunle Ifako Ijaiye, Lagos Nigeria,PRIMARY
Jextoban Secondary School, 1-3 Ibadan Street off Church Street Alapere Ketu, Lagos Nigeria,PRIMARY
Juilliard Academy, Block 80 plot 15 Bashiru Shittu Street Magod GRA Phase ll, Lagos Nigeria,PRIMARY
Kith and Kin Educational Schools, 7/11 Kaoli Olusanya Street Owode Ibeshe Ikorodu, Lagos Nigeria,PRIMARY
Krisbethel College, BO 2-6 federal lowcost Housing Estate Akinogun Bus/Stop Ipaja, Lagos Nigeria,PRIMARY
Lekki British School, Victoria Arobieke Street Off Admiralty Way Lekki Phase 1, Lagos Nigeria,PRIMARY
Nazareth School, 3rd Avenue H Close Festac Town, Lagos Nigeria,PRIMARY
Nigerian Navy Secondary School, 7th Floor 1-3 Moloney Street Obalende, Lagos Nigeria,PRIMARY
Our Lady of Apostles Private School, 342 Herbert Macaulay Way Yaba, Lagos Nigeria,PRIMARY
Pacific Comprehensive College, Plot 1-3 Ola Ogundipe street Bammeke Shasha Akowonjo, Lagos Nigeria,PRIMARY
Pacific Comprehensive College, Plot 1-3 Ola Ogundipe street Bammeke Shasha Akowonjo, Lagos Nigeria,PRIMARY
